"PERIODE","DP01","DP10","DP1X","DSND","PRCP","TAVG","TMAX","TMIN","EMXP","EMXT","EMNT"
"2009:Q2",13.6666666666667,8,0.666666666666667,0,89.5,14.3666666666667,20.1,8.63333333333333,33,32.2,-2.8
"2009:Q3",11.3333333333333,7.33333333333333,1.66666666666667,0,128.833333333333,19.2,24.5,13.9,70.1,32.8,2.8
"2009:Q4",10,5,1,4.66666666666667,84.2,4.2,8.63333333333333,-0.266666666666667,41.1,23.3,-16.1
"2010:Q1",9.66666666666667,5,0.666666666666667,9,71.4666666666667,-0.333333333333333,3.5,-4.16666666666667,28.7,21.1,-18.9
"2010:Q2",12.3333333333333,7,0.666666666666667,0,66.2666666666667,15.6666666666667,22.0666666666667,9.23333333333333,31.5,34.4,-1.7
"2010:Q3",9,4.33333333333333,0.333333333333333,0,67.9,21.3666666666667,27.0666666666667,15.7333333333333,68.1,35.6,3.9
"2010:Q4",10.3333333333333,6.66666666666667,1,3.33333333333333,115.033333333333,3.66666666666667,8.26666666666667,-0.933333333333333,77.2,23.3,-14.4
"2011:Q1",11.3333333333333,6.33333333333333,0.666666666666667,21.6666666666667,88.5,-3.16666666666667,1.53333333333333,-7.9,33.8,16.7,-25
"2011:Q2",12.6666666666667,9,1.33333333333333,0.333333333333333,118.6,15.3,20.7666666666667,9.86666666666667,50.8,33.9,-2.8
"2011:Q3",12,9.33333333333333,1,0,170.1,21.2666666666667,26.6666666666667,15.8666666666667,119.1,37.2,4.4
"2011:Q4",11.3333333333333,6.66666666666667,1,1.33333333333333,77.6333333333333,6.53333333333333,11.6666666666667,1.4,36.3,28.3,-10.6
"2012:Q1",9.66666666666667,4,0,4.33333333333333,40.7333333333333,1.93333333333333,6.96666666666667,-3.06666666666667,19.6,27.2,-17.8
"2012:Q2",11.6666666666667,7,1,0,94.5333333333333,15.3,21.3333333333333,9.33333333333333,35.6,34.4,-1.7
"2012:Q3",11,7,0.666666666666667,0,107.733333333333,21.0666666666667,26.8666666666667,15.1666666666667,81,36.7,3.9
"2012:Q4",12.3333333333333,5.33333333333333,0.333333333333333,1.66666666666667,70.5333333333333,5.33333333333333,9.66666666666667,1,57.9,23.3,-7.8
"2013:Q1",9.33333333333333,5,0,12.3333333333333,47.7,-1.83333333333333,2.7,-6.33333333333333,20.6,13.3,-20.6
"2013:Q2",13.3333333333333,8.66666666666667,2,0,150.766666666667,14.3666666666667,20.3666666666667,8.33333333333333,45,33.3,-3.8
"2013:Q3",8.66666666666667,6.66666666666667,1.33333333333333,0,109.266666666667,20.5333333333333,26.2666666666667,14.8,35.6,35.6,3.9
"2013:Q4",12.6666666666667,5.66666666666667,0,4,63.7333333333333,3.96666666666667,9,-1,23.9,25.6,-20.5
"2014:Q1",10.3333333333333,5.33333333333333,0.333333333333333,20.6666666666667,72.1666666666667,-4.83333333333333,0.133333333333333,-9.83333333333333,27.7,13.3,-24.3
"2014:Q2",12.6666666666667,7,0.666666666666667,0.333333333333333,83.2333333333333,14.9666666666667,21.2,8.7,40.9,32.2,-3.2
"2014:Q3",9.33333333333333,6,0.666666666666667,0,79.1,20.1666666666667,25.9333333333333,14.3666666666667,36.1,32.8,4.4
"2014:Q4",13.3333333333333,8,0.666666666666667,6,101.866666666667,5.33333333333333,9.53333333333333,1.23333333333333,40.6,26.1,-11
"2015:Q1",11,4,0,19,47.2333333333333,-6.16666666666667,-0.9,-11.4666666666667,22.4,9.4,-24.3
"2015:Q2",12,7.66666666666667,0.333333333333333,0,83.5333333333333,15.5666666666667,21.7333333333333,9.4,41.1,31.7,-3.8
"2015:Q3",8.33333333333333,6.66666666666667,1.66666666666667,0,123.733333333333,21.9666666666667,28.0333333333333,15.9,69.6,35,6.1
"2015:Q4",10,5.66666666666667,0.333333333333333,1,73.0333333333333,7.63333333333333,12.7666666666667,2.5,30.5,23.9,-6.6
"2016:Q1",8.66666666666667,4,0.333333333333333,2,55.0333333333333,1,6.23333333333333,-4.26666666666667,50.8,27.2,-24.9
"2016:Q2",8.33333333333333,5,0.333333333333333,1.33333333333333,55.8,14.4,20.6,8.16666666666667,32.8,33.9,-9.9
"2016:Q3",11.3333333333333,6.66666666666667,1.33333333333333,0,106.366666666667,21.8333333333333,27.8666666666667,15.8333333333333,64.8,34.4,2.8
"2016:Q4",11.6666666666667,5.66666666666667,0.666666666666667,4,65.7,5.26666666666667,10,0.466666666666666,39.4,28.9,-17.1
"2017:Q1",11.3333333333333,5.33333333333333,1,12.3333333333333,85.1333333333333,2.77555756156289e-17,4.56666666666667,-4.63333333333333,40.1,23.3,-16
"2017:Q2",15.6666666666667,10,0.666666666666667,0,118.366666666667,15.2666666666667,20.8,9.7,37.6,35,-2.7
"2017:Q3",9.66666666666667,6,0.666666666666667,0,89.1,20.5,26.1666666666667,14.8,43.7,32.8,3.3
"2017:Q4",11,5.33333333333333,0.333333333333333,6.33333333333333,47.7333333333333,4.8,9.8,-0.2,26.9,26.7,-20.5
"2018:Q1",11,6.66666666666667,0.333333333333333,19.3333333333333,72.3333333333333,-1.1,3.36666666666667,-5.6,27.4,22.8,-23.2
"2018:Q2",12.3333333333333,8.66666666666667,0.666666666666667,0.666666666666667,74.7,14.3,20.1666666666667,8.43333333333333,31.5,36.1,-7.1
"2018:Q3",12.6666666666667,8.33333333333333,1.33333333333333,0,123.033333333333,22.7666666666667,27.9,17.6,57.4,36.1,6.1
"2018:Q4",14.3333333333333,9.33333333333333,0.666666666666667,4.66666666666667,105.2,4.5,8.53333333333333,0.433333333333333,28.7,28.3,-15.5
"2019:Q1",12,7.33333333333333,0.666666666666667,16,70.5333333333333,-1.76666666666667,2.96666666666667,-6.53333333333333,31.8,22.2,-22.1
"2019:Q2",16.6666666666667,9.66666666666667,0.333333333333333,0.333333333333333,106.4,14.8666666666667,20.5333333333333,9.23333333333333,32.5,32.8,-5.5
"2019:Q3",10.6666666666667,6.33333333333333,0.333333333333333,0,87.6333333333333,21.4333333333333,27.4333333333333,15.4,40.4,35,5.6
"2019:Q4",12.3333333333333,8.33333333333333,1.33333333333333,6.66666666666667,125.7,4.46666666666667,9,2.22044604925031e-16,41.4,25.6,-17.1
"2020:Q1",9.66666666666667,7,0,7.66666666666667,64.8333333333333,1.8,6.46666666666667,-2.8,21.3,23.9,-15.5
"2020:Q2",10.6666666666667,7.33333333333333,0,0,56.0333333333333,15.0333333333333,21.1,9.03333333333333,15.7,35,-2.7
"2020:Q3",9.66666666666667,6.66666666666667,1,0,103.966666666667,20.0666666666667,25.9,14.2666666666667,99.6,34.4,0
"2020:Q4",12.3333333333333,6.66666666666667,1,3.66666666666667,89.1666666666667,4.43333333333333,9.36666666666667,-0.533333333333333,43.9,24.4,-19.9
"2021:Q1",8.33333333333333,5.66666666666667,0,12.3333333333333,45.8666666666667,-2.23333333333333,2.16666666666667,-6.7,18.5,23.9,-21.6
"2021:Q2",11.6666666666667,8,0.666666666666667,0,82.0666666666667,13.8,19.9,7.73333333333333,39.4,33.3,-5.5
"2021:Q3",15,11.6666666666667,1.33333333333333,0,153.6,19.4333333333333,24.5333333333333,14.3,39.1,31.7,3.9
"2021:Q4",14,7,1.33333333333333,1.66666666666667,102.7,6.63333333333333,11.2333333333333,2,41.9,25,-9.3
"2022:Q1",11.3333333333333,5.33333333333333,0.333333333333333,14.6666666666667,62.7,-2.03333333333333,3.36666666666667,-7.5,25.7,21.7,-21
"2022:Q2",11,6.33333333333333,0.333333333333333,0.333333333333333,74.8333333333333,15.3666666666667,21.5,9.13333333333333,51.6,33.9,-2.7
"2022:Q3",10.3333333333333,5.66666666666667,0.666666666666667,0,91.0333333333333,22.0333333333333,28,16.1,39.9,37.2,3.9
"2022:Q4",10.3333333333333,7,1,5,87.6,6.03333333333333,11.1333333333333,0.933333333333333,40.4,24.4,-13.8
"2023:Q1",13.3333333333333,8.66666666666667,0.333333333333333,13.3333333333333,79.8,1,5.63333333333333,-3.56666666666667,40.9,17.8,-24.9
"2023:Q2",10,6,0.666666666666667,0,71.9666666666667,15.3666666666667,22,8.7,30,33.9,-4.3
"2023:Q3",15.6666666666667,10.3333333333333,2,0,167.733333333333,21.5666666666667,26.9,16.2333333333333,58.7,33.9,7.2
"2023:Q4",13,6.66666666666667,1,1,92.5666666666667,7.1,11.6666666666667,2.53333333333333,54.1,30,-8.8
"2024:Q1",11.3333333333333,7,1,7.33333333333333,100.833333333333,1.66666666666667,6.13333333333333,-2.76666666666667,42.9,20.6,-13.8
"2024:Q2",11,7,0.333333333333333,0.333333333333333,84.3,16.6,22.6,10.6,31.5,35.6,-2.1
"2024:Q3",9.66666666666667,6.66666666666667,0.666666666666667,0,102.666666666667,21.8333333333333,27.6333333333333,16.1,73.9,35,7.2
"2024:Q4",11.3333333333333,5,1,7.33333333333333,69.6333333333333,5.7,11,0.433333333333333,35.3,26.7,-20.5
