"PERIODE","DP01","DP10","DP1X","DSND","PRCP","TAVG","TMAX","TMIN","EMXP","EMXT","EMNT"
"2010:Q1",10.6666666666667,5,0,12.3333333333333,49.1666666666667,-0.466666666666667,3.9,-4.86666666666667,23.4,27.2,-23.3
"2010:Q2",14.6666666666667,11.3333333333333,2,0,171.866666666667,19.8,25.5,14.0666666666667,49.3,33.3,0
"2010:Q3",8.66666666666667,6.66666666666667,1.66666666666667,0,138.7,24.0666666666667,29.9333333333333,18.1333333333333,90.2,36.7,7.2
"2010:Q4",6.66666666666667,3.66666666666667,0,5,37.7333333333333,6.16666666666667,12.0333333333333,0.333333333333333,20.8,30.6,-19.4
"2011:Q1",11.3333333333333,4.66666666666667,0.333333333333333,12.6666666666667,45.5,0.333333333333333,4.93333333333333,-4.3,26.4,24.4,-23.3
"2011:Q2",13.6666666666667,9.66666666666667,1.66666666666667,0,128.033333333333,18.0666666666667,23.7666666666667,12.4,30.7,35.6,-0.6
"2011:Q3",6.33333333333333,2.66666666666667,0,0,25.7,23.4333333333333,29.9,17,14.2,38.9,2.8
"2011:Q4",9.33333333333333,5.66666666666667,0.333333333333333,0,60.2,8.5,13.8333333333333,3.06666666666667,34,30.6,-10.6
"2012:Q1",11,5,0,2.33333333333333,40.2,5.9,11.7,0.1,16.5,28.3,-14.4
"2012:Q2",7,5,1,0,82.2333333333333,19.1,25.8666666666667,12.3666666666667,59.2,38.3,-2.2
"2012:Q3",7.33333333333333,4,0.666666666666667,0,52.3,23.7,31.1333333333333,16.2666666666667,47,40,0.6
"2012:Q4",8.66666666666667,6,0.666666666666667,1,80,7.4,12.5666666666667,2.23333333333333,49.3,27.8,-11.1
"2013:Q1",10,5.33333333333333,1.33333333333333,5.33333333333333,76.6333333333333,0.0333333333333333,4.8,-4.66666666666667,39.4,18.9,-17.2
"2013:Q2",13.3333333333333,7.66666666666667,2.33333333333333,0,152.633333333333,17.1666666666667,22.8333333333333,11.5,55.4,35,-4.3
"2013:Q3",5.33333333333333,3.66666666666667,0.333333333333333,0,41.0333333333333,22.2,28.5,15.9333333333333,27.9,35,5.6
"2013:Q4",9.33333333333333,4.33333333333333,0.666666666666667,2.33333333333333,54.5666666666667,4.63333333333333,10.4333333333333,-1.16666666666667,27.9,31.1,-17.1
"2014:Q1",10.3333333333333,5.33333333333333,0,13.6666666666667,61.0666666666667,-3.2,2.56666666666667,-8.96666666666667,22.9,23.3,-24.9
"2014:Q2",12,8,1.33333333333333,0,135.066666666667,18.7,24.5333333333333,12.8333333333333,65.3,32.8,-1.6
"2014:Q3",9.33333333333333,5.33333333333333,1.33333333333333,0,121.5,21.7,27.5333333333333,15.9,63.2,35.6,4.4
"2014:Q4",9.66666666666667,4.66666666666667,0.333333333333333,0.666666666666667,67.2,5.63333333333333,10.5,0.833333333333333,31.5,29.4,-13.2
"2015:Q1",10.3333333333333,4.33333333333333,0,12.6666666666667,41,-1.36666666666667,4.1,-6.86666666666667,14.2,25.6,-25.5
"2015:Q2",13.6666666666667,10,1.66666666666667,0,145.7,18.9,24.7,13.1333333333333,43.2,33.9,-3.2
"2015:Q3",7.33333333333333,4.33333333333333,1.33333333333333,0,84.8666666666667,23.4,29.4333333333333,17.3666666666667,54.1,35.6,5.6
"2015:Q4",10.3333333333333,6.66666666666667,1,0,102.033333333333,9.63333333333333,15.1,4.16666666666667,49.3,27.8,-8.8
"2016:Q1",8.33333333333333,5.33333333333333,0.666666666666667,7,67.1,3.36666666666667,8.36666666666667,-1.63333333333333,54.9,25,-17.1
"2016:Q2",9,5.66666666666667,0.333333333333333,0,64.4,18.6,24.7666666666667,12.4333333333333,35.8,35,-2.7
"2016:Q3",11.3333333333333,9,1.33333333333333,0,187.866666666667,24.4,29.7666666666667,19.0666666666667,142,34.4,10.6
"2016:Q4",7.66666666666667,4,0,0.333333333333333,43,8.56666666666667,13.7333333333333,3.43333333333333,24.9,31.1,-19.3
"2017:Q1",10.6666666666667,5,0.333333333333333,1.66666666666667,48.5666666666667,5,10.2333333333333,-0.3,43.2,26.7,-17.7
"2017:Q2",11.6666666666667,6.33333333333333,1,0,106.466666666667,19.1,25.2333333333333,12.9666666666667,57.2,35,2.2
"2017:Q3",6,3.33333333333333,0.666666666666667,0,57.3,23.1,29.8333333333333,16.4333333333333,48.3,35.6,5.6
"2017:Q4",9.33333333333333,3.66666666666667,0.333333333333333,2.33333333333333,54.7666666666667,7.33333333333333,12.9,1.7,57.9,31.1,-22.7
"2018:Q1",10,5,0.666666666666667,4.66666666666667,76.9333333333333,0.933333333333333,6.5,-4.56666666666667,55.1,20,-24.9
"2018:Q2",9.33333333333333,7,0.666666666666667,0.666666666666667,78.9,19.1333333333333,25.5,12.8333333333333,25.7,36.7,-8.8
"2018:Q3",6.66666666666667,5,2,0,134.4,23.8666666666667,29.6666666666667,18.0333333333333,71.1,36.1,6.1
"2018:Q4",12.3333333333333,6.66666666666667,1,4.66666666666667,94.5,5.4,10.4,0.3,52.8,32.2,-13.2
"2019:Q1",11.6666666666667,7.33333333333333,0.333333333333333,8.66666666666667,79.9,-0.3,4.36666666666667,-5.03333333333333,35.1,22.8,-25.5
"2019:Q2",15,10.3333333333333,2,0,166.166666666667,17.4666666666667,23.1666666666667,11.7666666666667,48.5,34.4,-2.7
"2019:Q3",8.66666666666667,5.33333333333333,1,0,97.4666666666667,23.8666666666667,29.6333333333333,18.0333333333333,83.8,35.6,11.1
"2019:Q4",8,6,1,4.33333333333333,74.4333333333333,5.63333333333333,11.1,0.1,50.8,32.8,-14.9
"2020:Q1",12,7.33333333333333,0.666666666666667,5.66666666666667,93.8333333333333,2.6,6.83333333333333,-1.63333333333333,40.4,22.2,-20.5
"2020:Q2",13.6666666666667,7.33333333333333,1.33333333333333,0.333333333333333,125.1,17.0333333333333,22.9333333333333,11.1,55.6,34.4,-3.2
"2020:Q3",6.66666666666667,5.66666666666667,0.666666666666667,0,80.5333333333333,22.4666666666667,28.5666666666667,16.3333333333333,59.7,33.9,4.4
"2020:Q4",8,5,0,0,38.7666666666667,6.9,12.9666666666667,0.9,15.2,30,-14.3
"2021:Q1",10,6.33333333333333,0.666666666666667,9.66666666666667,81.4333333333333,0.5,4.96666666666667,-3.93333333333333,37.1,22.8,-22.1
"2021:Q2",11.3333333333333,7.66666666666667,1.33333333333333,0,122.166666666667,17.8,23.6333333333333,11.9,48.3,37.2,-4.9
"2021:Q3",8,5.66666666666667,2,0,124.4,23.2,29.0666666666667,17.3,59.9,34.4,5.6
"2021:Q4",10.6666666666667,5,0.666666666666667,0,70.1,8.83333333333333,14.4,3.33333333333333,54.4,30.6,-8.2
"2022:Q1",8,5,0.333333333333333,9,61.1333333333333,0.233333333333334,5.7,-5.16666666666667,39.6,24.4,-18.8
"2022:Q2",9.66666666666667,6.33333333333333,0.666666666666667,0,82.1666666666667,17.8333333333333,23.7333333333333,11.9,33.5,36.1,-1
"2022:Q3",10,5.66666666666667,1.66666666666667,0,128,22.4666666666667,28.2333333333333,16.7666666666667,94.2,36.1,2.2
"2022:Q4",6.66666666666667,4.33333333333333,1,0,65.8666666666667,5.93333333333333,11.8,0.0666666666666667,40.1,27.2,-22.1
"2023:Q1",11.3333333333333,6.33333333333333,0.333333333333333,1,62.4,3.5,8.56666666666667,-1.63333333333333,42.2,26.1,-14.9
"2023:Q2",5,4.33333333333333,1,0,58.4666666666667,17.9,25.2,10.6333333333333,32.8,34.4,-1.6
"2023:Q3",8.33333333333333,5.33333333333333,1.33333333333333,0,103.466666666667,22.7,28.8333333333333,16.5,92.5,37.2,5.6
"2023:Q4",8.66666666666667,5,0.666666666666667,0,64.0666666666667,8.36666666666667,13.7333333333333,3.03333333333333,31.5,31.7,-9.9
"2024:Q1",10.3333333333333,6,0.333333333333333,4,72.2333333333333,3.7,9.16666666666667,-1.73333333333333,25.7,26.7,-24.3
"2024:Q2",11,6,1,0,91.7333333333333,22.25,25.1666666666667,16.35,36.3,35,9.4
"2024:Q3",8.66666666666667,5.66666666666667,1,0,110.1,22.3666666666667,28.4666666666667,16.2666666666667,72.4,36.7,4.4
"2024:Q4",9.66666666666667,5,0.666666666666667,0,84.9666666666667,8.13333333333333,14,2.26666666666667,71.6,31.7,-13.2
